2,3,동트는 로맨스 4,유월 (지은이)거북이북스(유어마나)2022-06-21,268쪽150*210mm348gISBN : 9788966074297,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기
",목차없음
2,4,동트는 로맨스 3,유월 (지은이)거북이북스(유어마나)2022-06-21,240쪽150*210mm312gISBN : 9788966074280,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기
",목차없음
2,5,동트는 로맨스 3~4 세트 - 전2권 (한정판),유월 (지은이)거북이북스(유어마나)2022-06-21,508쪽150*210mm660gISBN : 9788966074303,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기
",목차없음
2,6,절망에 울어라 : 하,"시노우 료 (지은이),Leigh (옮긴이)㈜소미미디어2022-06-20",208쪽128*180mm208gISBN : 9791138411219,"
국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기국내도서 > 만화 > 19금 접기
",목차없음
2,7,절망에 울어라 : 상,"시노우 료 (지은이),Leigh (옮긴이)㈜소미미디어2022-06-20",208쪽128*180mm208gISBN : 9791138411202,"
국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기국내도서 > 만화 > 19금 접기
",목차없음
2,8,대공비 후보지만 견실하게 할 생각입니다 1,"와타리 마카나 (지은이),세오 유리 (원작),오카야 (그림)YNK MEDIA(만화)2022-06-17원제 : 大公妃候補だけど 堅?に行こうと思います",146쪽128*182mm146gISBN : 9791165801090,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기
",목차없음
2,9,"BL만화가, 야한 XX를 하다",치바 타유리 (지은이)YNK MEDIA(만화)2022-06-17원제 : BLマンガ家くん、エッチな××をする,160쪽128*182mm160gISBN : 9791165808556,"
국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기국내도서 > 만화 > 19금 접기
",목차없음
2,10,얼굴에 드러나지 않는 카시와다 양과 얼굴에 드러나는 오오타 군 6,"아즈마 후유 (지은이),박소현 (옮긴이)YNK MEDIA(만화)2022-06-17원제 : 顔に出ない柏田さんと顔に出る太田君 6",154쪽128*182mm154gISBN : 9791165808464,"
국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기
",목차없음
2,11,보석성의 신입 2,마리무 (지은이)YNK MEDIA(만화)2022-06-17원제 : 宝石省の新人,178쪽128*182mm178gISBN : 9791165804695,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기
",목차없음
2,12,스바루와 스우 씨 5,"타카하시 나츠코 (지은이),이찬미 (옮긴이)㈜소미미디어2022-06-17",176쪽128*180mm176gISBN : 9791138411226,"
국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기
",목차없음
2,13,단칸방의 마녀 라이프 2,"아키타카 (지은이),안수지 (옮긴이)㈜소미미디어2022-06-17",178쪽128*180mm178gISBN : 9791138410922,"
국내도서 > 만화 > 코믹/명랑만화 접기
",목차없음
2,14,사축 씨는 꼬마 유령에게 치유받고 싶어 2,"아리타 이마리 (지은이),정우주 (옮긴이)㈜소미미디어2022-06-17",146쪽128*180mm146gISBN : 9791138410830,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기
",목차없음
2,15,용이 비를 내리는 나라 1부 3,썸머 (지은이)디앤씨웹툰비즈2022-06-17,248쪽150*210mm322gISBN : 9791167770356,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기
",목차없음
2,16,용이 비를 내리는 나라 1부 2,썸머 (지은이)디앤씨웹툰비즈2022-06-17,244쪽150*210mm317gISBN : 9791167770349,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기
",목차없음
2,17,용이 비를 내리는 나라 1부 1,썸머 (지은이)디앤씨웹툰비즈2022-06-17,268쪽150*210mm348gISBN : 9791167770332,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기
",목차없음
2,18,용이 비를 내리는 나라 1부 세트 (일반판) - 전3권,썸머 (지은이)디앤씨웹툰비즈2022-06-17,760쪽150*210mm988gISBN : 9791167770325,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기
",목차없음
2,19,용이 비를 내리는 나라 1부 세트 (한정판) - 전3권 (표지 일러스트 엽서 3종 + 대형 브로마이드 + 현대AU 증명사진 세트 + 2단 아크릴 스탠드 + 박스),썸머 (지은이)디앤씨웹툰비즈2022-06-17,760쪽150*210mm988gISBN : 9791167770363,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기
",목차없음
2,20,화이트 블러드 8 북케이스 세트 (인생네컷 2종 포함),임리나 (지은이)영컴(YOUNG COM)2022-06-16,320쪽145*200mm416gISBN : 9791167791115,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기
",목차없음
2,21,화이트 블러드 8,임리나 (지은이)영컴(YOUNG COM)2022-06-16,320쪽145*200mm416gISBN : 9791167791092,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기
",목차없음
2,22,연놈 14,상하 (지은이)영컴(YOUNG COM)2022-06-16,288쪽145*200mm374gISBN : 9791167791085,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 소년만화 > 청소년 성장 접기
",목차없음
2,23,우리 오너가 너무 달콤해,야나기 유토 (지은이)조은세상(북두)2022-06-16,182쪽128*182mm182gISBN : 9791139107630,"
국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기국내도서 > 만화 > 19금 접기
",목차없음
2,24,Rosen Blood 4,이시즈에 카치루 (지은이)조은세상(북두)2022-06-16,160쪽128*188mm (B6)160gISBN : 9791139106213,"
국내도서 > 만화 > 순정만화 > 틴에이지 순정 접기국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기
",목차없음
2,25,"25시, 아카사카에서 3",나츠노 히로코 (지은이)조은세상(북두)2022-06-16,"200쪽128*182mm
200gISBN : 9791139107623","
국내도서 > 만화 > 순정만화 > 그 남자들의 사랑 접기국내도서 > 만화 > 19금 접기
",목차없음
